year,quarter,district,resid_total,household_total,household_apt
2019,2,1000791,2567,1140,0
2019,2,1000790,3307,1644,0
2019,2,1000789,2463,1159,0
2019,2,1000788,5278,3333,0
2019,2,1000787,5533,2363,0
2019,2,1000786,2935,1402,0
2019,2,1000785,4339,2550,0
2019,2,1000784,4588,2398,0
2019,2,1000783,2739,1019,290
2019,2,1000782,3096,1116,163
2019,2,1000781,1415,980,0
2019,2,1000780,4471,2650,120
2019,2,1000779,2030,1198,230
2019,2,1000778,655,329,0
2019,2,1000777,2335,1386,0
2019,2,1000776,2448,1324,0
2019,2,1000775,383,212,22
2019,2,1000774,2872,1117,171
2019,2,1000773,2873,1447,71
2019,2,1000772,3185,1721,0
2019,2,1000771,2494,1099,198
2019,2,1000770,2387,1262,177
2019,2,1000769,1926,769,142
2019,2,1000768,3860,2197,0
2019,2,1000767,2051,975,0
2019,2,1000766,1125,713,0
2019,2,1000765,630,333,0
2019,2,1000764,363,228,0
2019,2,1000763,380,200,0
2019,2,1000762,1747,866,0
2019,2,1000761,2947,1702,130
2019,2,1000760,2305,1287,274
2019,2,1000759,3944,2157,49
2019,2,1000758,1330,713,0
2019,2,1000757,3901,2191,0
2019,2,1000756,2608,1295,0
2019,2,1000755,1022,628,0
2019,2,1000754,3211,1531,230
2019,2,1000753,2570,1363,0
2019,2,1000752,2886,1600,0
2019,2,1000751,1000,476,0
2019,2,1000750,1509,512,503
2019,2,1000749,2722,1476,0
2019,2,1000748,3461,1703,68
2019,2,1000747,2263,1140,0
2019,2,1000746,3617,1719,593
2019,2,1000745,921,711,0
2019,2,1000744,1918,1008,133
2019,2,1000743,3443,2078,64
2019,2,1000742,2600,1149,24
2019,2,1000741,2635,1427,18
2019,2,1000740,860,350,148
2019,2,1000739,2411,1492,0
2019,2,1000738,3564,1805,0
2019,2,1000737,4113,1902,0
2019,2,1000736,3231,1619,18
2019,2,1000735,3937,1993,0
2019,2,1000734,1413,828,0
2019,2,1000733,3340,1851,0
2019,2,1000732,2590,1456,69
2019,2,1000731,2665,1740,14
2019,2,1000730,2232,1270,0
2019,2,1000729,1623,955,21
2019,2,1000728,1332,957,0
2019,2,1000727,1825,1120,0
2019,2,1000726,1829,1125,0
2019,2,1000725,2311,1248,411
2019,2,1000724,3542,1643,746
2019,2,1000723,371,222,0
2019,2,1000722,1533,766,0
2019,2,1000721,4135,1877,631
2019,2,1000720,1552,825,165
2019,2,1000719,3234,1251,626
2019,2,1000718,2997,1474,0
2019,2,1000717,2737,1292,80
2019,2,1000716,3964,1902,250
2019,2,1000715,1984,1060,0
2019,2,1000714,2428,1263,0
2019,2,1000713,982,442,0
2019,2,1000712,3395,1810,591
2019,2,1000711,1294,735,0
2019,2,1000710,2921,1881,20
2019,2,1000709,81,13,0
2019,2,1000708,1463,868,0
2019,2,1000707,1343,725,0
2019,2,1000706,1876,910,0
2019,2,1000705,800,433,0
2019,2,1000704,1619,748,84
2019,2,1000703,3610,1865,12
2019,2,1000702,2485,1362,0
2019,2,1000701,602,270,0
2019,2,1000700,341,203,0
2019,2,1000699,2249,1134,0
2019,2,1000698,3025,1630,0
2019,2,1000697,1057,566,0
2019,2,1000696,2339,1017,58
2019,2,1000695,2843,1214,134
2019,2,1000694,2369,1262,172
2019,2,1000693,1876,1137,0
2019,2,1000692,4346,1939,791
2019,2,1000691,2217,1374,0
2019,2,1000690,1801,1253,0
2019,2,1000689,1331,786,587
2019,2,1000688,981,571,95
2019,2,1000687,2712,2129,270
2019,2,1000686,141,126,0
2019,2,1000685,152,74,0
2019,2,1000684,269,198,0
2019,2,1000683,1912,896,0
2019,2,1000682,3748,1825,19
2019,2,1000681,5951,2696,68
2019,2,1000680,2653,1288,0
2019,2,1000679,1584,801,390
2019,2,1000678,3026,1456,0
2019,2,1000677,1984,841,71
2019,2,1000676,3530,1347,205
2019,2,1000675,1824,1154,66
2019,2,1000674,4814,2229,344
2019,2,1000673,2252,1536,0
2019,2,1000672,576,298,25
2019,2,1000671,3305,1552,34
2019,2,1000670,1055,649,0
2019,2,1000669,1258,688,190
2019,2,1000668,1269,970,154
2019,2,1000667,3269,1632,53
2019,2,1000666,649,307,0
2019,2,1000665,3279,1472,56
2019,2,1000664,2598,1452,0
2019,2,1000663,2243,1057,0
2019,2,1000662,2130,760,246
2019,2,1000661,2632,1149,69
2019,2,1000660,1910,1012,12
2019,2,1000659,2288,1748,0
2019,2,1000658,4338,2010,0
2019,2,1000657,1965,956,0
2019,2,1000656,1753,836,123
2019,2,1000655,3281,2154,214
2019,2,1000654,1060,776,0
2019,2,1000653,1102,461,181
2019,2,1000652,1606,643,98
2019,2,1000651,830,514,0
2019,2,1000650,2099,1065,0
2019,2,1000649,517,259,0
2019,2,1000648,2823,1324,305
2019,2,1000647,1428,601,64
2019,2,1000646,1686,734,9
2019,2,1000645,2639,1067,0
2019,2,1000644,1500,1293,0
2019,2,1000643,4723,4074,94
2019,2,1000642,1190,629,0
2019,2,1000641,1410,701,0
2019,2,1000640,2165,971,0
2019,2,1000639,1287,480,448
2019,2,1000638,2694,1282,0
2019,2,1000637,673,356,0
2019,2,1000636,922,430,0
2019,2,1000635,1131,566,21
2019,2,1000634,3257,1701,322
2019,2,1000633,870,438,0
2019,2,1000632,6114,2689,0
2019,2,1000631,2646,1327,0
2019,2,1000630,1936,920,0
2019,2,1000629,2508,1205,0
2019,2,1000628,1903,948,0
2019,2,1000627,2031,1125,43
2019,2,1000626,982,527,0
2019,2,1000625,2119,1380,110
2019,2,1000624,3170,1272,636
2019,2,1000623,4462,1971,0
2019,2,1000622,2513,1147,0
2019,2,1000621,2594,1211,0
2019,2,1000620,2030,858,362
2019,2,1000619,3027,1470,0
2019,2,1000618,1833,1043,0
2019,2,1000617,3435,1527,0
2019,2,1000616,2996,1292,245
2019,2,1000615,2287,986,0
2019,2,1000614,2487,1117,366
2019,2,1000613,3693,1312,781
